Unnamed: 0,French,English
0,partie,part
1,histoire,history
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
10,frère,brother
11,laisser,let
12,aucun,no
13,laisse,leash
14,parlé,speak
15,arrivé,come
16,devrait,should
17,bébé,baby
18,longtemps,long time
20,vont,will
22,place,square
24,compris,understood
26,étaient,were
27,voici,here is
28,pourrais,could
29,affaire,case
30,donner,give
31,leurs,their
32,donné,given
33,corps,body
34,endroit,place
35,yeux,eyes
37,dont,whose
38,trouve,find
39,premier,first
40,perdu,lost
42,côté,side
43,pouvoir,power
44,vieux,old
45,sois,be
46,tiens,here
48,tellement,so much
49,enfant,child
50,point,point
51,venu,came
52,suite,after
53,pardon,sorry
54,venez,come
55,devant,in front of
56,minutes,minutes
57,demandé,request
58,chambre,bedroom
59,mis,placed
60,belle,beautiful
61,droit,law
64,mari,husband
65,cause,cause
67,espère,hope
68,eau,water
69,nouvelle,new
71,dirait,would say
73,compte,account
74,loin,far
75,fin,end
76,chérie,sweetheart
77,gros,large
78,plutôt,rather
79,filles,girls
81,bureau,office
